"material"	"durability"	"skin"	"name"	"category"	"tier"	"npc_sell_price"	"id"	"salvages"	"rarity_salvageable"	"description"	"item_model"	"stats"	"unstackable"	"dungeon_item_conversion_cost"	"upgrade_costs"	"museum_data"	"requirements"	"color"	"soulbound"	"components"	"has_uuid"	"can_auction"	"gemstone_slots"	"glowing"	"can_trade"	"can_place"	"museum"	"generator"	"generator_tier"	"furniture"	"item_specific"	"editioned"	"gear_score"	"dungeon_item"	"catacombs_requirements"	"can_have_booster"	"hide_from_api"	"can_recombobulate"	"salvageable_from_recipe"	"motes_sell_price"	"double_tap_to_drop"	"enchantments"	"rift_transferrable"	"origin"	"hide_from_viewrecipe_command"	"force_wipe_recomb"	"ability_damage_scaling"	"tiered_stats"	"crystal"	"can_burn_in_furnace"	"salvage"	"serializable"	"can_have_attributes"	"can_interact"	"can_interact_right_click"	"private_island"	"can_have_power_scroll"	"can_interact_entity"	"MINING_FORTUNE"	"rarity"	"sword_type"	"is_upgradeable_without_soulbinding"	"recipes"	"cannot_reforge"	"lose_motes_value_on_transfer"	"prestige"
"SKULL_ITEM"	3		"Mandraa"	"REFORGE_STONE"	"RARE"	1	"MANDRAA"																																																											
"SKULL_ITEM"	3		"Furball"	"REFORGE_STONE"	"RARE"	1	"FURBALL"																																																											
"SKULL_ITEM"	3		"Obsidian Tablet"	"REFORGE_STONE"	"RARE"	1	"OBSIDIAN_TABLET"																																																											
"SKULL_ITEM"	3		"Beating Heart"	"REFORGE_STONE"	"RARE"	1	"BEATING_HEART"																																																											
"SKULL_ITEM"	3		"End Stone Shulker"	"REFORGE_STONE"	"RARE"	1	"END_STONE_SHULKER"																																																											
"SKULL_ITEM"	3		"Acacia Birdhouse"	"REFORGE_STONE"	"RARE"	1	"ACACIA_BIRDHOUSE"																																																											
"SKULL_ITEM"	3		"Dark Orb"	"REFORGE_STONE"	"RARE"	1	"DARK_ORB"																																																											
"SKULL_ITEM"	3		"Ender Monocle"	"REFORGE_STONE"	"RARE"	1	"ENDER_MONOCLE"																																																											
"SKULL_ITEM"	3		"Scorched Books"	"REFORGE_STONE"	"MYTHIC"	1	"SCORCHED_BOOKS"																																																											
"SKULL_ITEM"	3		"Eccentric Painting"	"REFORGE_STONE"	"LEGENDARY"	1	"ECCENTRIC_PAINTING"																																																											
"SKULL_ITEM"	3		"Precious Pearl"	"REFORGE_STONE"	"EPIC"	500000	"PRECIOUS_PEARL"																																																											
"SKULL_ITEM"	3		"Magma Urchin"	"REFORGE_STONE"	"EPIC"	1	"MAGMA_URCHIN"																																																											
"SKULL_ITEM"	3		"Horns of Torment"	"REFORGE_STONE"	"EPIC"	1	"HORNS_OF_TORMENT"																																																											
"SKULL_ITEM"	3		"Rock Candy"	"REFORGE_STONE"	"UNCOMMON"	770	"ROCK_CANDY"																																																											
"SKULL_ITEM"	3		"Luxurious Spool"	"REFORGE_STONE"	"UNCOMMON"	1	"LUXURIOUS_SPOOL"	"[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":1}]"	true																																																									
"SKULL_ITEM"	3		"Glacite Chunk"	"REFORGE_STONE"	"LEGENDARY"	1	"GLACITE_SHARD"	"[{""type"":""ESSENCE"",""essence_type"":""FOSSIL"",""amount"":25}]"																																																										
"SKULL_ITEM"	3		"Hazmat Enderman"	"REFORGE_STONE"	"LEGENDARY"	1	"HAZMAT_ENDERMAN"																																																											
"SKULL_ITEM"	3		"Vitamin Death"	"REFORGE_STONE"	"LEGENDARY"	1	"VITAMIN_DEATH"																																																											
"SKULL_ITEM"	3		"Bamboo"		"COMMON"	5	"BAMBOO"			"%%dark_gray%%%%italic%%Panda's favorite snacks!"	"minecraft:bamboo"																																																							
"DIAMOND_SWORD"			"Sword of Live Reloading"				"SWORD_OF_LIVE_RELOADING"																																																											
"DIAMOND_HELMET"			"Helmet of Live Reloading"				"HELMET_OF_LIVE_RELOADING"																																																											
"SKULL_ITEM"	3		"Kuudra Washing Machine"		"SPECIAL"	1	"KUUDRA_WASHING_MACHINE"						true																																																					
"IRON_SWORD"			"Arack"	"SWORD"	"EPIC"	5000	"ARACK"	"[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":5}]"	true						"[[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":15}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":25}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":35}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":45}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":65}]]"																																																			
"SKULL_ITEM"	3		"Arachne Fragment"		"RARE"	500	"ARACHNE_FRAGMENT"																																																											
"SKULL_ITEM"	3		"Shriveled Bracelet"	"GLOVES"	"EPIC"		"SHRIVELED_BRACELET"										"[{""type"":""SLAYER"",""slayer_boss_type"":""spider"",""level"":7}]"																																																	
"LEATHER_BOOTS"			"Arachne's Boots"	"BOOTS"	"RARE"	2000	"ARACHNE_BOOTS"	"[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":5}]"	true						"[[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":15}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":25}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":35}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":45}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":65}]]"			"139,0,0"	"COOP"																																															
"SKULL_ITEM"	3		"Shriveled Wasp"		"LEGENDARY"	100000	"SHRIVELED_WASP"			"A notably large wasp carcass, drowned in the web and drained of blood. Its stinger remains intact."										"[{""type"":""RECIPE_INGREDIENT""}]"																																														
"SKULL_ITEM"	3		"Arachne's Belt"	"BELT"	"RARE"	2000	"ARACHNE_BELT"	"[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":5}]"	true										"COOP"																																															
"SKULL_ITEM"	3		"Arachne's Necklace"	"NECKLACE"	"RARE"	2000	"ARACHNE_NECKLACE"	"[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":5}]"	true										"COOP"																																															
"SKULL_ITEM"	3		"Tarantula Catalyst"		"EPIC"	10000	"TARANTULA_CATALYST"			"Drops rarely from Tarantula Broodfather when you are at least Spider Slayer LVL 6."										"[{""type"":""RECIPE_INGREDIENT""}]"																																														
"SKULL_ITEM"	3		"Primordial Eye"		"LEGENDARY"		"PRIMORDIAL_EYE"			"A single, all-seeing eye, forcefully removed from the Primordial Broodfather. Though expressionless, you can sense the rage that permeates throughout."										"[{""type"":""RECIPE_INGREDIENT""}]"																																														
"SKULL_ITEM"	3		"Arachne's Gloves"	"GLOVES"	"RARE"	2000	"ARACHNE_GLOVES"	"[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":5}]"	true										"COOP"																																															
"SKULL_ITEM"	3		"Arachne's Calling"		"RARE"	400	"ARACHNE_KEEPER_FRAGMENT"																																																											
"SKULL_ITEM"	3		"Arachne's Helmet"	"HELMET"	"RARE"	2000	"ARACHNE_HELMET"	"[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":5}]"	true						"[[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":15}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":25}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":35}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":45}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":65}]]"				"COOP"																																															
"LEATHER_CHESTPLATE"			"Arachne's Chestplate"	"CHESTPLATE"	"RARE"	2000	"ARACHNE_CHESTPLATE"	"[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":5}]"	true						"[[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":15}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":25}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":35}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":45}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":65}]]"			"139,0,0"	"COOP"																																															
"SKULL_ITEM"	3		"Tarantula Ring"	"ACCESSORY"	"LEGENDARY"		"TARANTULA_RING"	"[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":75}]"									"[{""type"":""SLAYER"",""slayer_boss_type"":""spider"",""level"":7}]"																																																	
"COMPASS"			"Archaeologist's Compass"	"ACCESSORY"	"COMMON"	1000	"ARCHAEOLOGIST_COMPASS"												"SOLO"		true																																													
"SKULL_ITEM"	3		"Arachne's Cloak"	"CLOAK"	"RARE"	2000	"ARACHNE_CLOAK"	"[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":5}]"	true										"COOP"																																															
"LEATHER_LEGGINGS"			"Arachne's Leggings"	"LEGGINGS"	"RARE"	2000	"ARACHNE_LEGGINGS"	"[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":5}]"	true						"[[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":15}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":25}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":35}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":45}],[{""type"":""ESSENCE"",""essence_type"":""SPIDER"",""amount"":65}]]"			"139,0,0"	"COOP"																																															
"SKULL_ITEM"	3		"Arachne's Fang"		"UNCOMMON"	500	"ARACHNE_FANG"			"Straight from the spider's mouth."										"[{""type"":""RECIPE_INGREDIENT""}]"																																														
"SKULL_ITEM"	3		"Poison Sample"		"UNCOMMON"	500	"POISON_SAMPLE"			"Dropped from %%green%%Slimes%%gray%%, but only the especially toxic ones!"										"[{""type"":""RECIPE_INGREDIENT""}]"																																														
"SKULL_ITEM"	3		"Arachne Crystal"		"EPIC"	1000	"ARACHNE_CRYSTAL"																																																											
"SKULL_ITEM"	3		"Anita's Talisman"	"ACCESSORY"	"COMMON"		"ANITA_TALISMAN"																																																											
