"productId"	"sellPrice"	"sellVolume"	"sellMovingWeek"	"sellOrders"	"buyPrice"	"buyVolume"	"buyMovingWeek"	"buyOrders"
"CORRUPTED_BAIT"	0.6	137008	212338	5	12.103200000000001	366883	212139	139
"TARANTULA_WEB"	1407.3415719265738	10256736	30420089	259	1455.297168041192	3370550	1264387	264
"ENCHANTMENT_ULTIMATE_CROP_FEVER_5"	26311380.5	21	166	13	28999999.50689655	801	3146	197
"SEA_LUMIES"	325.74529830070185	2831393	6736233	63	496.771186158709	891326	243571	175
"ENCHANTMENT_ULTIMATE_CROP_FEVER_4"	13929377.3	18	13	11	18599999.9	14	223	6
"ARCHITECT_FIRST_DRAFT"	55003.3125	24490	12627	29	64998.4	1401	11318	22
"CELESTIAL_MASON_JAR"	1150001.98125	1964	1214	137	1537350.8897058824	3554	4115	475
"RITUAL_RESIDUE"	2225458.173913043	551	2101	10	2464998.293617021	416	2728	17
"ESSENCE_DRAGON"	3314.262643632221	2450337	4628099	85	3813.871357829684	9666359	5230562	941
"ENCHANTMENT_TURBO_ROSE_2"	30000	305	28	6	651912.5	32	39	28
"ENCHANTMENT_TURBO_ROSE_1"	96813.86256684492	17094	11663	464	180390.85	187	5846	137
"SHARD_SALMON"	5157.117593311436	541945	262742	412	6932.251405622491	179353	313619	158
"GIANT_FRAGMENT_LASER"	1025549.6988636364	5372	20688	70	1124594.8729106628	1829	18461	27
"ENCHANTMENT_ULTIMATE_CROP_FEVER_3"	6535347.55	60	20	14	9827708.5	161	678	29
"ENCHANTMENT_ULTIMATE_CROP_FEVER_2"	3104730.1	103	36	31	4999997.5	34	570	7
"ENCHANTMENT_TURBO_ROSE_5"	2318230.1	37	6	19	5249997.9	38	565	12
"ENCHANTMENT_TURBO_ROSE_4"	91666.7888888889	1556	5	30	6389999.6	21	8	16
"ENCHANTMENT_ULTIMATE_CROP_FEVER_1"	1487852.7651685392	3368	3239	194	1915262.0534090907	16948	15302	1297
"ENCHANTMENT_TURBO_ROSE_3"	76000	503	23	7	2501466.7	24	54	23
"DO_NOT_EAT_SHROOM"	13681.644045481748	156837	12662	129	53633.5	2433	16631	40
"ENCHANTED_BLAZE_ROD"	256697.90086313192	10001	57278	28	294700.9399239543	25198	36738	289
"GENERATOR_UPGRADE_STONE_REVENANT_12"	6500000.4	162	6	37	10999999.2	19	24	6
"SHARD_MEGALITH"	178589.3	551	1111	13	219227.8	1926	15363	4
"FRESHLY_MINTED_COINS"	2186680.8	316	199	9	2645995.1	1440	3266	11
"ENCHANTED_BROWN_MUSHROOM"	1561.9322285443807	2190376	59339234	51	1615.9456417201473	22114901	9047555	454
"SHARD_CARROT_KING"	98467.9	535	867	8	196931.8933933934	1245	5021	16
"ENCHANTMENT_CORRUPTION_5"	51531.41923076923	404	38	12	455999.7	69	350	14
"ENCHANTMENT_CORRUPTION_4"	10.1	1049	23	5	249999.6	8	60	5
"ENCHANTMENT_CORRUPTION_3"	0	0	26	0	0	0	26	0
