"internalId"	"name"	"source"	"npcValue"	"lore"	"flags"	"category"	"recipes"
"ENCHANTMENT_FIRST_STRIKE_2"	"First Strike II"	"HypixelBazaar"	0	"&7&9First Strike II
&7Increases melee damage dealt by
&a50% &7for the first hit on a mob.

&7Applicable on: &9Melee Weapon
&7Apply Cost: &330 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_EXPERIENCE_5"	"Experience V"	"HypixelBazaar"	0	"&7&9Experience V
&7Grants a &a62.5% &7chance for mobs and
&7ores to drop double experience.

&7Applicable on: &9Melee Weapon&7, &9Mining
&9Tools
&7Use this on an item in an Anvil to
&7apply it!

&a&lUNCOMMON&r"			
"ENCHANTMENT_MANA_VAMPIRE_1"	"Mana Vampire I"	"HypixelBazaar"	0	"&7&9Mana Vampire I
&7Heal for &a0.5% &7of mana used near you.

&7Applicable on: &9Armor
&7Apply Cost: &330 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_FORTUNE_2"	"Fortune II"	"HypixelBazaar"	0	"&7&9Fortune II
&7Grants &6+20☘ Mining Fortune&7, which
&7increases your chance for multiple
&7drops.

&7Applicable on: &9Mining Tools
&7Apply Cost: &330 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_DIVINE_GIFT_1"	"Divine Gift I"	"HypixelBazaar"	0	"&7&9Divine Gift I
&7Grants &b+2✯ Magic Find&7.

&7Applicable on: &9Bow&7, &9Melee Weapon
&7Apply Cost: &350 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_FIRE_PROTECTION_6"	"Fire Protection VI"	"HypixelBazaar"	0	"&7&9Fire Protection VI
&7Grants &f+12❂ True Defense &7against
&7fire and lava.

&7Applicable on: &9Armor
&7Apply Cost: &3100 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&9&lRARE&r"			
"ENCHANTMENT_EFFICIENCY_5"	"Efficiency V"	"HypixelBazaar"	0	"&7&9Efficiency V
&7Grants &a+110 &6⸕ Mining Speed&7.

&7Applicable on: &9Mining Tools&7, &9Tools
&7Apply Cost: &330 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&a&lUNCOMMON&r"			
"ENCHANTMENT_SYPHON_4"	"Drain IV"	"HypixelBazaar"	0	"&7&9Drain IV
&7Heals for &a0.5% &7of your max health
&7per &9100 &9☠ Crit Damage &7you deal per
&7hit, up to &91,000 &9☠ Crit Damage&7.

&7Applicable on: &9Melee Weapon
&7Apply Cost: &350 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_CULTIVATING_7"	"Cultivating VII"	"HypixelBazaar"	0	"&7&9Cultivating VII
&7Gain &3+7☯ Farming Wisdom &7and &6+14☘
&6Farming Fortune&7.
&85M crops to tier up!

&7Applicable on: &9Axe&7, &9Hoe
&e▲ &7Cultivating cannot be combined!
&7Use this on an item in an Anvil to
&7apply it!

&5&lEPIC&r"			
"ENCHANTMENT_ABSORB_2"	"Absorb II"	"HypixelWikiEnchantment"	0	"&7&9Absorb II
&7Grants &3+2☯ Foraging Wisdom &7and
&6+4☘ Foraging Fortune&7.
&85k logs to tier up!

&7Applicable on: &9Axe
&e▲ &7Absorb cannot be combined!
&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
